Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Abbas.2005.blood.Immune:Normal cell:T_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	T cell	T_cell	T cell	"ARH, ASPM, BCL11B, C21orf45, CAMK4, CCDC5, CCNA2, CCNB1, CCNB2, CD3D, CD3E, CD3G, CD5, CD6, CD8A, CD8B1, CDC2, CDCA1, CDCA2, CDCA5, CPO, CTLA4, CXCR6, DGKA, DHX33, DKFZp761K1824, DNAJB1, DUFD1, DUSP2, EGLN3, EST, FLJ11029, FLJ20249, FTHFSDC1, GPR15, GZMK, H2AFX, HDGFRP3, HGFL, HMMR, HSPC150, ICOS, IL17F, IL22, IL9, INPP4B, KIF14, LAG3, LEF1, LEPROTL1, LRRN3, MELK, MGC15763, MGC3036, MGC5306, MKI67, NDFIP2, NDNL2, PAICS, PRC1, PRO2000, PTP, RRM1, SDP35, STK6, TCF7, TCRA, TOP2A, TPX2, TRIM, TSBF1, UBE2C, UBE2S, ZBED2, ZNRF1, ZWINT"	76	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:B_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	B cell	B_cell	B cell	"ALG5, AMPD1, AP1, B4GALT3, BAFFR, BANK1, BCL11A, BCMA, BCNP1, BLK, BLNK, BMP8B, BRDG1, C14orf138, C19orf10, C20orf31, C21orf83B, CD19, CD20, CD79A, CD79B, COPEB, CPNE5, CXCR5, DDOST, DKFZp667L0210, DTNB, EAF2, EIF2AK3, ELL2, ERN1, ERP70, EST, FBXO18, FCRH1, FCRH2, FKBP11, FLJ20202, FLJ22625, FLJ23235, FLJ31364, FLJ43842, FREB, GNG7, GPRC5D, HTPAP, IRTA2, KIAA0102, KIAA0125, KIAA0746, KIAA1384, LOC220213, LOC51061, LZTFL1, MAN1A1, MANEA, MGC15606, MTND6, NALP7, NGLY1, OSBPL10, PACAP, PAX5, PC4, PNOC, POU2AF1, QRSL1, RALGPS2, RPN1, SCFD1, SEC24A, SMCY, SPATS2, SPIB, SSR1, STCH, TCF3, TCL1A, TLOC1, TLR10, TRA1, TRAM1, TRAM2, TXNDC5, UBE2G1, UBE2J1, Ufm1, VIL2, VPREB3, WNT10A"	90	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Lymphocyte	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Lymphocyte	Lymphocyte	Lymphocyte	"ERI1, AIM2, ANXA2, ANP32E, AP1GBP1, APOBEC3A, ARL7, ARPC5L, ASXL1, ATM, BACH2, BATF, BCL11B, BHLHB2, BTLA, BTN3A2, BTN3A3, BUB3, C14orf61, C1orf33, C1QBP, C21orf106, C6orf129, CARD11, CBLB, CBX3, CCND2, CD160, CD2, CD3Z, CD69, CD7, CD96, CDC25B, CDK6, CDT1, CENPH, CGI-09, CHEK1, CHST12, CISH, CKS2, CPSF5, CRSP3, CTSW, DDX21, DEFA4, DKC1, DKFZP564O0463, DKFZp762C1112, DNAJC1, DUT, EDG8, EOMES, EPC1, EST, EVER1, EVER2, FAM29A, FANCD2, FBXO5, FCRH3, FEN1, FKSG14, FKSG79, FLJ12643, FLJ12994, FLJ20249, FLJ21438, FLJ22457, FLJ32255, FLJ36837, FLJ39739, FLJ39873, FUS, GITR, GLCCI1, GMPPB, GNG2, GNLY, GPR114, GPR18, GTPBP4, GZMA, GZMB, GZMH, GZMM, helios-3, HELLS, HGLF, hIAN2, HMGB1, IAN4L1, ICAM2, IFI16, IFNG, IL2RB, ITGB7, ITK, ITM1, ITPKB, KA6, KIAA0101, KIAA0379, KIAA1509, KIAA2010, KIF2C, KIR2DL1, KLF12, KLIP1, KLRB1, KLRC3, KLRC4, KLRD1, KLRG1, KSP37, LAP2, LCK, LFIO9330, LIF, LOC197135, LOC283989, LOC342616, LOC348235, LOC51320, LOC56854, LOC56902, LTA, LY9, LYAR, MAD2L1, MAP4K1, MCM10, MCM2, MCM6, MCM7, MCOLN1, MGAT2, MGC16044, MGC23244, MGC24001, MGC3067, MGC5244, MGC61571, MKI67IP, MYBL1, NCR3, NDFIP2, NFATC3, NK4, NKG7, NOD3, NOP5/NOP58, NUSAP1, P2RX5, PA2G4, PAICS, PAI-RBP1, PAPOLA, PASK, PC4, PCNA, PDK1, PHF19, PIM2, POLR1B, PPP1R2, PRDM2, PRF1, PRKCH, PRKCQ, PRKX, PRO2000, PRSS1, PTGDR, PTPN4, PTPN7, PTPRCAP, PTTG1, RACGAP1, RAMP, RASA2, RASGRP2, RFC4, RIOK1, RNF125, RORA, RPA3, RPIA, RRM2, SAMD3, SDF2L1, 01-Sep, 06-Sep, SFRS2, SH2D2A, SLC7A5, SMC2L1, SMC4L1, SNRPA1, SOS1, SP100, SP4, SSR1, STAT4, STIP1, SYNE2, T2BP, TAF4B, TBX21, TCF19, TCF3, TNFRSF7, TNFSF6, TOP2A, TOSO, TRA@, TRIPIN, TYMS, UHRF1, UNC84B, VLIG-1, WBSCR22, WDR4, XCL1, XCL2, ZAP70, ZBP1, ZC3HAV1, ZNF101, ZNF137, ZNF367, ZNFN1A3"	233	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Myeloid_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Myeloid cell	Myeloid_cell	Myeloid cell	"ABCC1, ABHD2, ABL2, ACP5, ADORA2A, AIF1, AMICA, AMID, AMPD3, AP2S1, APG7L, APOBEC3A, ARHG, ARHGAP18, ATP2B1, ATP6V1A, ATP6V1C1, BANP, BCL2A1, BCL6, BID, BIRC1, BLP1, BLVRA, C14orf109, C14orf58, C1orf24, C1orf38, C20orf139, C5R1, C6orf107, C9orf72, CAMK1D, CAPG, CCL19, CCL22, CD58, CD80, CD86, CDKN1A, CENTA2, CENTD2, CGI-109, CHI3L1, cig5, CKLF, CLECSF12, CLECSF6, CLECSF9, CLN8, COL4A3BP, COP1, CORO1C, CPM, CPVL, CREB5, CREG, CSF1R, CSF2RA, CSF3R, CSTA, CTSB, CTSZ, CYBB, CYP1B1, DAPP1, DCSTAMP, DDEF1, DDX41, DIRC2, DKFZP434H132, DKFZP566A1524, DOCK5, DPEP2, DPYD, DREV1, EBI3, ECGF1, EGFL5, EHD4, EMILIN2, EMR2, EST, ETV6, EZI, FAD104, FCAR, FCGR2A, FCN1, FEZ2, FGL2, FLJ00012, FLJ10116, FLJ10357, FLJ10702, FLJ10874, FLJ11151, FLJ11663, FLJ13052, FLJ14153, FLJ20481, FLJ20686, FLJ20847, FLJ22329, FLJ22368, FLJ22662, FLJ25348, FLJ31033, FLJ31413, FLJ31978, FLJ32028, FLJ32704, FLJ38725, FLJ40432, FLJ90005, FPR1, FPRL1, FPRL2, FRAT1, FYB, GARNL1, GCA, GLA, GM2A, GMFB, GNG10, GNRH1, GNS, GPR109B, GPR86, GRAF, GRINA, GSN, HCK, HK3, HLX1, HPSE, HSPA6, HSPC196, ICOSL, IFIT2, IFITM1, IFNGR1, IGSF6, IL12B, IL13RA1, IL15, IL17R, IL6R, IL8, INDO, INHBA, IRF5, ITGAX, ITGB8, KAB, KCNJ2, KCTD12, KIAA0346, KIAA0930, KIAA1363, KIAA1533, KIAA1546, KIAA1902, KYNU, LACTB, LAK, LAMP1, LILRA1, LILRB1, LILRB2, LILRB3, LIMS1, LITAF, LOC129607, LOC153222, LOC162073, LOC196463, LOC202908, LOC283431, LOC286088, LOC339493, LOC339745, LOC55580, LOC91947, LOC92162, LRP10, LST1, LTB4R, LYN, MAFB, MAFF, MAP3K4, MARCKS, MBD6, MCL1, MGC20700, MGC24133, MGC33602, MGC45731, MGC4796, MGC5618, MGC7036, MGC9726, MMPL1, MNDA, MS4A6A, MS4A7, MSC, MSCP, NAGA, NAGK, NALP12, NAV1, NCE2, NCF2, NCK1, NEK6, NFAM1, NFE2, NINJ1, NPL, NRBF-2, NRP1, NRP2, NSMAF, NUMB, NUP214, OAZ2, OGFRL1, OSBPL11, P2RX7, PBEF, PBEF1, PDCD1LG1, PEP1, PFC, PGD, PHCA, PI4KII, PICALM, PILRA, PISD, PITPN, PLA2G7, PLEKHB2, PLXDC2, PP2135, PPM1F, PPT1, PTAFR, PTEN, PTGS2, PTPRE, PTPRO, RAB10, RARA, RASAL2, RASGRP4, RASSF2, RASSF3, RASSF4, RDX, REL, RGS18, RIPK2, RIT1, RLG, RNASE2, RNF13, RNF149, RNF24, RPS27L, RRAGC, S100A12, S100A9, SART2, SCA1, SCAP2, SCO2, SGKL, SGPP2, SIAT4A, SLAMF8, SLC11A1, SLC11A2, SLC15A3, SLC16A3, SLC2A6, SLC31A2, SLC36A4, SLC38A6, SLC6A6, SLC7A11, SNX11, SOAT1, SOD2, SPI1, SPRED1, STAB1, STXBP2, SYT11, TACE, TALDO1, TA-NFKBH, TBXAS1, TFEC, TGFBI, TIMP2, TLR1, TLR2, TLR4, TLR8, TMG4, TNFAIP2, TNFAIP6, TNFRSF19L, TNFRSF5, TNFSF13B, TNIP1, TRAF1, TREM1, TREM2, TRIP8, TXNRD1, U2AF1L2, UBE2D1, UGCG, UNC93B1, USP15, WDFY1, WNT5A, WTAP, ZDHHC18, ZFHX1B, ZNF147, ZNF620"	337	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Dendritic_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Dendritic cell	Dendritic_cell	Dendritic cell	"a1/3GTP, ABTB2, ADAM12, ALOX15, CBR3, CCL13, CCL17, CD1A, CD1B, CD1E, CD86, CG018, CHST7, CLECSF13, CLIC2, CNOT10, CRLF2, CXCL11, DCNP1, EHD4, EST, FLJ13089, FLJ23230, FLJ35936, FLJ40614, FLN29, FNBP2, FSCN1, G1P3, GRSF1, H6PD, HLA-DQ-alpha, HLA-DRB3, HLA-DRB4, HMG20B, HMOX1, HOZFP, IFIT1, KIAA1404, Lectin, LOC253782, LOC284018, LOC93082, MDA5, MDS010, MGC20700, MMP12, MOB4A, MX1, NAGPA, NR4A3, NT5C3, NUP62, NYREN18, OAS1, OATPRP4, PDL2, PLDN, PVRL2, RAB30, RAB9A, RASSF4, RhoGAP2, SLC27A3, SN, SPRED2, TBC1D13, TTYH2, UBD, USP18"	70	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Monocyte	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Monocyte	Monocyte	Monocyte	"AFURS1, AP1S2, BHLHB3, C21orf42, CASP1, CCL24, CCRL2, CD1D, CDK5RAP2, CLECSF5, CSPG2, CTSD, CTSL, CXCL1, CXCL3, CXCL5, CYBB, DDEF1, DFNA5, DTR, DUSP6, EREG, EST, FLJ20273, FLJ20701, GJB2, GNA15, GPR84, HS3ST3B1, IER3, IL19, IL1A, IL1B, IL1F9, IL1RN, IL24, IL3RA, IL6, INPP5B, IPLA2(GAMMA), IRAK2, LRRFIP1, MGC26226, MMP1, MMP14, MMP19, MMP9, MPEG1, MS4A6A, MTF1, NPC1, NRIP3, OK/KNS-CL.4, PFKFB3, PLAUR, PLD1, PLD3, PPBP, PPIF, PRAM-1, PTX3, RNU2, RPEL1, SERPINB2, SERPINB7, SERPINB9, SGPP2, SLC28A3, SLC31A1, SLC3A2, SNX9, SRC, TCIRG1, TFPI2, TIEG, TMEFF1, TncRNA, TNF-gamma; VEG1, ZFHX1B, ZFYVE16, ZP3"	81	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:NK_cell	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Natural killer cell	NK_cell	Natural killer cell	"CD244, CHST12, CLIC3, IVNS1ABP, KIR2DL1, KIR2DL2, KIR2DL4, KIR2DS2, KIR2DS5, KIR3DL1, KIR3DL2, KIR3DS1, KLRF1, NS1-BP, PTGDR, TGFBR1, YPEL1"	17	15789058	2005	Bulk	scTyper sigDB
Abbas.2005.blood.Immune:Normal cell:Neutrophil	Abbas.2005.blood.Immune	Human	Normal	Blood	UBERON_0000178	Normal cell	Immune	Neutrophil	Neutrophil	Neutrophil	"ABTB1, AMPD2, C5orf6, CCR3, CDA, CKLFSF2, CLC, CREB5, CTBS, DcR1, EST, FCGR2B, FCGR3B, FLJ10298, FPRL1, FRAT2, GPR27, GPR43, HSPA6, IL8RA, IL8RB, KIAA0779, KIAA1126, KRT23, LENG4, LENG5, MAD, MGC10500, MGC14126, MGC16353, MPPE1, MSCP, NCF4, NRBF-2, PHC2, PROK2, RALB, RNF141, SEC14L1, SEPX1, STX3A, TM4-B, VMP1, VNN2, XPO6"	45	15789058	2005	Bulk	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:cCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	cCAF	Cycling CAF	"CCNA2, CEP55, MKI67, NUF2, TOP2A"	5	30514914	2018	Single-cell	scTyper sigDB
Bartoschek.2018.BRCA.CAF:Cancer cell:dCAF	Bartoschek.2018.BRCA.CAF	Mouse	Breast Cancer (BRCA)	Breast	UBERON_0000310	Cancer cell	non-Immune	CAF subtype	dCAF	Developmental CAF	"SCRG1, PDGFC, CITED4, COL4A6, COL4A5, SOX9, MIA, MIA-RAB4B, SOX10, COMP, GATA3, SPINT2, CLU, IL17B, SMOC1, CHAD, COL9A2, COL9A1, S100B, ITGA6"	20	30514914	2018	Single-cell	scTyper sigDB
